 Total battles: 443979
 Total teams: 887958
 Total pokemon: 5327748
 + ---- + ------------------ + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage  | Percent | RealUse| RealPct | 
 | 258  | Dunsparce          | 864    |  0.097% | 690    |  0.096% | 
 | 259  | Whiscash           | 861    |  0.097% | 664    |  0.093% | 
 | 260  | Camerupt           | 841    |  0.095% | 701    |  0.098% | 
 | 261  | Leavanny           | 839    |  0.094% | 640    |  0.089% | 
 | 262  | Rattata            | 784    |  0.088% | 622    |  0.087% | 
 | 263  | Swanna             | 771    |  0.087% | 637    |  0.089% | 
 | 264  | Castform           | 760    |  0.086% | 596    |  0.083% | 
 | 265  | Kingler            | 754    |  0.085% | 603    |  0.084% | 
 | 266  | Zebstrika          | 744    |  0.084% | 632    |  0.088% | 
 | 267  | Gligar             | 738    |  0.083% | 606    |  0.085% | 
 | 268  | Seaking            | 734    |  0.083% | 587    |  0.082% | 
 | 269  | Throh              | 727    |  0.082% | 607    |  0.085% | 
 | 270  | Basculin           | 709    |  0.080% | 584    |  0.081% | 
 | 271  | Musharna           | 688    |  0.077% | 551    |  0.077% | 
 | 272  | Persian            | 662    |  0.075% | 595    |  0.083% | 
 | 273  | Skuntank           | 645    |  0.073% | 538    |  0.075% | 
 | 274  | Spinda             | 626    |  0.070% | 518    |  0.072% | 
 | 275  | Rhydon             | 620    |  0.070% | 492    |  0.069% | 
 | 276  | Banette            | 608    |  0.068% | 551    |  0.077% | 
 | 277  | Hypno              | 597    |  0.067% | 504    |  0.070% | 
 | 278  | Butterfree         | 582    |  0.066% | 505    |  0.070% | 
 | 279  | Mesprit            | 576    |  0.065% | 482    |  0.067% | 
 | 280  | Audino             | 566    |  0.064% | 433    |  0.060% | 
 | 281  | Magikarp           | 551    |  0.062% | 385    |  0.054% | 
 | 282  | Arbok              | 551    |  0.062% | 441    |  0.062% | 
 | 283  | Garbodor           | 549    |  0.062% | 476    |  0.066% | 
 | 284  | Vanilluxe          | 539    |  0.061% | 401    |  0.056% | 
 | 285  | Beartic            | 528    |  0.059% | 450    |  0.063% | 
 | 286  | Kangaskhan         | 526    |  0.059% | 404    |  0.056% | 
 | 287  | Stunfisk           | 494    |  0.056% | 418    |  0.058% | 
 | 288  | Rotom-Fan          | 493    |  0.056% | 424    |  0.059% | 
 | 289  | Relicanth          | 492    |  0.055% | 394    |  0.055% | 
 | 290  | Vulpix             | 459    |  0.052% | 441    |  0.062% | 
 | 291  | Clamperl           | 457    |  0.051% | 361    |  0.050% | 
 | 292  | Vespiquen          | 437    |  0.049% | 323    |  0.045% | 
 | 293  | Combusken          | 437    |  0.049% | 381    |  0.053% | 
 | 294  | Solrock            | 430    |  0.048% | 348    |  0.049% | 
 | 295  | Misdreavus         | 423    |  0.048% | 365    |  0.051% | 
 | 296  | Mawile             | 409    |  0.046% | 285    |  0.040% | 
 | 297  | Wigglytuff         | 405    |  0.046% | 345    |  0.048% | 
 | 298  | Exploud            | 404    |  0.045% | 299    |  0.042% | 
 | 299  | Dragonair          | 403    |  0.045% | 330    |  0.046% | 
 | 300  | Dewgong            | 390    |  0.044% | 335    |  0.047% | 
 | 301  | Raticate           | 387    |  0.044% | 303    |  0.042% | 
 | 302  | Dodrio             | 387    |  0.044% | 290    |  0.040% | 
 | 303  | Simisage           | 383    |  0.043% | 312    |  0.044% | 
 | 304  | Simipour           | 381    |  0.043% | 315    |  0.044% | 
 | 305  | Glalie             | 380    |  0.043% | 312    |  0.044% | 
 | 306  | Magcargo           | 380    |  0.043% | 315    |  0.044% | 
 | 307  | Piloswine          | 377    |  0.042% | 313    |  0.044% | 
 | 308  | Grumpig            | 373    |  0.042% | 303    |  0.042% | 
 | 309  | Mightyena          | 370    |  0.042% | 301    |  0.042% | 
 | 310  | Haunter            | 369    |  0.042% | 304    |  0.042% | 
 | 311  | Beedrill           | 369    |  0.042% | 310    |  0.043% | 
 | 312  | Electabuzz         | 367    |  0.041% | 310    |  0.043% | 
 | 313  | Hippopotas         | 367    |  0.041% | 345    |  0.048% | 
 | 314  | Cherrim            | 358    |  0.040% | 268    |  0.037% | 
 | 315  | Tangela            | 356    |  0.040% | 297    |  0.041% | 
 | 316  | Beheeyem           | 352    |  0.040% | 285    |  0.040% | 
 | 317  | Noctowl            | 349    |  0.039% | 292    |  0.041% | 
 | 318  | Sudowoodo          | 340    |  0.038% | 299    |  0.042% | 
 | 319  | Simisear           | 339    |  0.038% | 292    |  0.041% | 
 | 320  | Pelipper           | 326    |  0.037% | 246    |  0.034% | 
 | 321  | Cottonee           | 325    |  0.037% | 264    |  0.037% | 
 | 322  | Unfezant           | 320    |  0.036% | 256    |  0.036% | 
 | 323  | Furret             | 309    |  0.035% | 249    |  0.035% | 
 | 324  | Masquerain         | 305    |  0.034% | 243    |  0.034% | 
 | 325  | Seviper            | 304    |  0.034% | 257    |  0.036% | 
 | 326  | Granbull           | 302    |  0.034% | 259    |  0.036% | 
 | 327  | Ariados            | 302    |  0.034% | 233    |  0.033% | 
 | 328  | Vigoroth           | 287    |  0.032% | 243    |  0.034% | 
 | 329  | Gurdurr            | 281    |  0.032% | 232    |  0.032% | 
 | 330  | Lairon             | 277    |  0.031% | 191    |  0.027% | 
 | 331  | Kecleon            | 274    |  0.031% | 206    |  0.029% | 
 | 332  | Wartortle          | 267    |  0.030% | 219    |  0.031% | 
 | 333  | Swalot             | 258    |  0.029% | 192    |  0.027% | 
 | 334  | Pachirisu          | 253    |  0.028% | 204    |  0.028% | 
 | 335  | Heatmor            | 251    |  0.028% | 210    |  0.029% | 
 | 336  | Bellossom          | 248    |  0.028% | 208    |  0.029% | 
 | 337  | Onix               | 246    |  0.028% | 226    |  0.032% | 
 | 338  | Mantine            | 240    |  0.027% | 204    |  0.028% | 
 | 339  | Purugly            | 238    |  0.027% | 216    |  0.030% | 
 | 340  | Fearow             | 237    |  0.027% | 189    |  0.026% | 
 | 341  | Bibarel            | 222    |  0.025% | 188    |  0.026% | 
 | 342  | Girafarig          | 221    |  0.025% | 182    |  0.025% | 
