 Total battles: 443596
 Total teams: 887192
 Total pokemon: 887192
 + ---- + ------------------ + ------ + ------- + 
 | Rank | Pokemon            | Usage  | Percent | 
 | 328  | Delcatty           | 36     |  0.004% |
 | 329  | Piloswine          | 35     |  0.004% |
 | 330  | Unfezant           | 35     |  0.004% |
 | 331  | Metapod            | 35     |  0.004% |
 | 332  | Pachirisu          | 35     |  0.004% |
 | 333  | Pignite            | 35     |  0.004% |
 | 334  | Vanilluxe          | 35     |  0.004% |
 | 335  | Grumpig            | 35     |  0.004% |
 | 336  | Exploud            | 34     |  0.004% |
 | 337  | Vigoroth           | 34     |  0.004% |
 | 338  | Relicanth          | 34     |  0.004% |
 | 339  | Dragonair          | 34     |  0.004% |
 | 340  | Eevee              | 32     |  0.004% |
 | 341  | Tangela            | 31     |  0.003% |
 | 342  | Ariados            | 31     |  0.003% |
 | 343  | Illumise           | 30     |  0.003% |
 | 344  | Magnemite          | 29     |  0.003% |
 | 345  | Watchog            | 29     |  0.003% |
 | 346  | Mightyena          | 28     |  0.003% |
 | 347  | Taillow            | 27     |  0.003% |
 | 348  | Corsola            | 27     |  0.003% |
 | 349  | Pelipper           | 27     |  0.003% |
 | 350  | Mantine            | 26     |  0.003% |
 | 351  | Shelgon            | 26     |  0.003% |
 | 352  | Stantler           | 26     |  0.003% |
 | 353  | Bellossom          | 26     |  0.003% |
 | 354  | Lunatone           | 26     |  0.003% |
 | 355  | Cherrim            | 25     |  0.003% |
 | 356  | Boldore            | 25     |  0.003% |
 | 357  | Farfetch'd         | 24     |  0.003% |
 | 358  | Duskull            | 24     |  0.003% |
 | 359  | Sunflora           | 24     |  0.003% |
 | 360  | Wartortle          | 24     |  0.003% |
 | 361  | Maractus           | 23     |  0.003% |
 | 362  | Nosepass           | 23     |  0.003% |
 | 363  | Misdreavus         | 22     |  0.002% |
 | 364  | Simipour           | 22     |  0.002% |
 | 365  | Ducklett           | 21     |  0.002% |
 | 366  | Zubat              | 21     |  0.002% |
 | 367  | Dewott             | 21     |  0.002% |
 | 368  | Gastly             | 21     |  0.002% |
